premium,name,has_test,response_letter_required,department_id,department_name,area_id,area_name,salary_from,salary_to,salary_currency,salary_gross,type_id,employer_name,schedule_id,experience_id,employment_id,is_address,is_insider_interview,salary_from_rub,salary_to_rub,"(False, 'salary_from_rub')","(False, 'salary_to_rub')"
False,"Специалист по работе с AI, нейросетями",False,False,68587-68587-markpr,Алабуга. Маркетинг и PR,98,Ульяновск,60000.0,,RUR,True,open,"Алабуга, ОЭЗ ППТ",fullDay,noExperience,full,False,False,60000.0,,60000.0,
False,Руководитель проекта по внедрению искусственного интеллекта/ Product Owner,False,False,,,53,Краснодар,89000.0,,RUR,False,open,МФК Саммит,remote,between1And3,full,False,False,89000.0,,89000.0,
False,Аналитик данных,False,False,,,4,Новосибирск,,,,,open,Управляющая Компания Сибантрацит,fullDay,between3And6,full,False,False,,,,
False,Аналитик данных,False,False,mts-3776-main,«МТС» ,1,Москва,,,,,open,МТС,fullDay,between3And6,full,False,True,,,,
False,Data Engineer/Дата-инженер,False,False,,,1,Москва,,,,,open,"АТОЛ, группа компаний",fullDay,between3And6,full,True,False,,,,
False,Middle/ senior data scientist (разработка моделей для казначейства и рыночных рисков),False,False,vtb-4181-teh,"ПАО ВТБ, Технологический блок",1,Москва,,,,,open,Банк ВТБ (ПАО),fullDay,between3And6,full,True,False,,,,
False,Инженер данных/Data engineer,False,False,,,3,Екатеринбург,,,,,open,Artsofte,fullDay,between1And3,full,True,False,,,,
False,Data Scientist / Специалист по анализу данных (Эконометрист),False,False,,,1,Москва,,,,,open,Okkam,fullDay,between3And6,full,True,False,,,,
False,Аналитик данных в отделе закупа,False,False,,,22,Владивосток,70000.0,110000.0,RUR,False,open,DNS Головной офис,fullDay,between1And3,full,True,False,70000.0,110000.0,70000.0,110000.0
False,Аналитик данных,False,False,,,1,Москва,,,,,open,ТЕХНОЛОГИИ ОТРАСЛЕВОЙ ТРАНСФОРМАЦИИ,fullDay,between1And3,full,False,False,,,,
False,Руководитель направления по аналитике данных (ЦБ),False,False,,,1,Москва,,,,,open,Finbridge,remote,between3And6,full,False,False,,,,
False,Data Analyst (СберСеллер),False,False,8620-8620-indeks,Rambler&Co СберСеллер,1,Москва,,,,,open,Rambler&Co,fullDay,between1And3,full,False,False,,,,
False,Senior/Team Lead Machine Learning Engineer,False,False,,,1,Москва,300000.0,,RUR,False,open,Волкрафт,fullDay,between3And6,full,True,False,300000.0,,300000.0,
False,Data engineer (ETL-разработчик),False,False,3529-3529-prof,Сбер для экспертов,1,Москва,,,,,open,СБЕР,fullDay,between1And3,full,True,False,,,,
False,ML Разработчик NLP (MTS AI),False,False,mts-3776-main,«МТС» ,1,Москва,,,,,open,МТС,remote,between3And6,full,True,True,,,,
False,Старший инженер систем хранения данных,False,False,mts-3776-main,«МТС» ,68,Омск,120000.0,,RUR,True,open,МТС,fullDay,between3And6,full,False,True,120000.0,,120000.0,
False,Senior Data Engineer,False,False,,,1,Москва,,,,,open,WILDBERRIES,flexible,between3And6,full,False,False,,,,
False,Руководитель AI отдела исследований и перспективных разработок (Rubackup),False,False,,,1,Москва,,,,,open,Группа компаний Астра,fullDay,moreThan6,full,True,False,,,,
False,Инженер сопровождения (Хранилище данных),False,False,3529-3529-prof,Сбер для экспертов,1,Москва,,,,,open,СБЕР,fullDay,between1And3,full,False,False,,,,
False,Data Scientist,False,False,3529-3529-prof,Сбер для экспертов,3,Екатеринбург,,,,,open,СБЕР,fullDay,between3And6,full,False,False,,,,
False,"Владелец продукта (ML, IIoT)",False,False,severstal-6041-it,Северсталь. IT & Digital,1,Москва,,,,,open,Северсталь,fullDay,between3And6,full,False,False,,,,
False,Аналитик данных / Data Analyst,False,False,,,2075,Ступино,,,,,open,Марс,fullDay,between1And3,full,False,False,,,,
False,Senior Data Analyst (Методология Ромашки),False,False,3529-3529-prof,Сбер для экспертов,1,Москва,,,,,open,СБЕР,fullDay,between3And6,full,False,False,,,,
False,Data Engineer,False,False,,,88,Казань,,,,,open,Совкомбанк,fullDay,between1And3,full,True,False,,,,
False,Machine Learning / Machine Learning Ops Engineer,False,False,,,1,Москва,,,,,open,Центр Методического Обеспечения Оптимизации Процессов Государственного Управления в Московской области,fullDay,between1And3,full,False,False,,,,
False,Data Engineer,False,False,,,1,Москва,,,,,open,"МАГНИТ, Розничная сеть",remote,between3And6,full,False,False,,,,
False,"Аналитик данных (SQL, OLAP-кубы, BI - инструменты)",False,False,,,1,Москва,,,,,open,Комус,fullDay,between3And6,full,True,False,,,,
False,Аналитик данных BI отдела автоматизации (г. Воронеж),False,False,,,58,Липецк,,,,,open,Группа компаний АГРОЭКО,fullDay,between1And3,full,False,False,,,,
False,Аналитик данных по взысканию,False,False,47939-47939-top,"Ак Барс Банк, Специалистам и руководителям",88,Казань,50000.0,125000.0,RUR,True,open,Ак Барс Банк,fullDay,between1And3,full,True,False,50000.0,125000.0,50000.0,125000.0
False,Data scientist (Middle/Middle+),False,False,,,1,Москва,,,,,open,РСХБ-Интех,fullDay,between3And6,full,True,False,,,,
False,Data-инженер,False,False,,,2734,Иннополис,,,,,open,Тинькофф,fullDay,between1And3,full,True,True,,,,
False,Аналитик данных,False,False,,,2084,Дзержинский,,,,,open,ТехноГрупп,fullDay,between1And3,full,True,False,,,,
False,Ведущий технический эксперт по искусственному интеллекту и нейросетям (AI Tech Lead),False,False,,,1,Москва,,,,,open,DSSL,fullDay,between3And6,full,False,False,,,,
False,Middle Data Engineer (Блок B2C),False,False,3529-3529-prof,Сбер для экспертов,1,Москва,,,,,open,СБЕР,fullDay,between1And3,full,False,False,,,,
False,Senior Data engineer,False,False,,,1,Москва,,,,,open,Marksman,fullDay,between3And6,full,False,False,,,,
False,Data analyst,False,False,,,1,Москва,,,,,open,Солар,fullDay,between3And6,full,False,False,,,,
False,Data Engineer (Clickhouse),False,False,,,1,Москва,,,,,open,Axenix (ранее Accenture),fullDay,between1And3,full,True,False,,,,
