premium,name,department_id,department_name,area_id,area_name,has_test,response_letter_required,salary_from,salary_to,salary_currency,salary_gross,type_id,employer_name,schedule_id,experience_id,employment_id,is_address,is_insider_interview
False,Senior Software Developer C++\ ML,,,1,Москва,False,False,,,,,open,ABBYY,fullDay,between3And6,full,True,False
False,Data Analyst to Equity Research,,,1,Москва,False,False,,,,,open,ВТБ Капитал,fullDay,noExperience,full,True,False
False,Data Scientist (middle or senior),,,1,Москва,False,False,,500000.0,RUR,True,open,РАБЛЗ,flexible,between3And6,full,False,False
False,"Senior Data Engineer (Python, AWS)",,,1,Москва,False,False,,,,,open,Align Technology,fullDay,between3And6,full,True,False
False,Data Engineer,,,1,Москва,False,False,160000.0,200000.0,RUR,False,open,BestDoctor,flexible,between1And3,full,True,False
False,Инженер данных,,,1,Москва,False,False,,,,,open,НПФ БУДУЩЕЕ,fullDay,between1And3,full,True,False
False,Аналитик данных,,,2,Санкт-Петербург,False,False,,,,,open,ANCOR Consumer Goods,fullDay,between1And3,full,False,False
False,Senior Data Engineer,,,53,Краснодар,False,False,,,,,open,DataArt,fullDay,between3And6,full,True,False
False,Аналитик/Data Scientist,,,1,Москва,False,False,,,,,open,Инновационная мобильность,fullDay,between3And6,full,True,False
False,Machine Learning Engineer,,,53,Краснодар,False,False,,,,,open,DataArt,fullDay,between1And3,full,True,False
False,Data analyst,3156389-3156389-crpt,ЦРПТ,2,Санкт-Петербург,False,False,,,,,open,ЦРПТ (Центр развития перспективных технологий),fullDay,between3And6,full,True,False
False,Machine Learning - Deep Learning engineer,,,2,Санкт-Петербург,False,False,250000.0,,RUR,False,open,БЕТА,fullDay,between3And6,full,False,False
False,Data Scientist (Junior),3529-3529-prof,Сбер для экспертов,2,Санкт-Петербург,False,False,,,,,open,Сбербанк,fullDay,between1And3,full,False,False
False,Senior Data Engineer,,,53,Краснодар,False,False,,,,,open,DataArt,fullDay,between1And3,full,True,False
False,Python разработчик (машинное обучение),,,1,Москва,False,False,,,,,open,НТЦ Модуль,fullDay,between1And3,full,True,False
False,Data Scientist,,,115,Киев,False,False,,,,,open,Логістика Fozzy Group,fullDay,between1And3,full,False,False
False,Team Lead data engineer,bil-4934-beel,Билайн,1,Москва,False,False,,,,,open,Билайн,fullDay,between3And6,full,False,False
False,Senior data scientist (Audio processing),,,2,Санкт-Петербург,False,False,,,,,open,DINS,fullDay,between3And6,full,True,True
False,Data Engineer (Middle),3529-3529-prof,Сбер для экспертов,2,Санкт-Петербург,False,False,,,,,open,Сбербанк,fullDay,noExperience,full,False,False
False,Старший Аналитик Данных,,,159,Нур-Султан,False,False,,,,,open,"BI GROUP, ТМ (ТОО BI Support)",fullDay,between3And6,full,False,False
False,Data Scientist,,,2,Санкт-Петербург,False,False,,,,,open,Первая Грузовая Компания,fullDay,noExperience,full,False,False
False,Data Scientist,,,66,Нижний Новгород,False,False,,,,,open,Первая Грузовая Компания,fullDay,noExperience,full,False,False
False,Data Scientist,,,88,Казань,False,False,,,,,open,Первая Грузовая Компания,fullDay,noExperience,full,False,False
False,Data Scientist,,,4,Новосибирск,False,False,,,,,open,Первая Грузовая Компания,fullDay,noExperience,full,False,False
False,Data Scientist (блок риски),3529-3529-data,Сбер. Data Science,1,Москва,False,False,,,,,open,Сбербанк,fullDay,between3And6,full,False,False
False,Data Engineer (TD),,,1,Москва,False,False,,,,,open,Лаборатория Касперского,fullDay,between3And6,full,False,False
False,Data Scientist,,,2,Санкт-Петербург,False,False,,,,,open,Аркадия,fullDay,between1And3,full,True,False
